ID_ENTIDAD,ANIO,Total_accidentes,CAUSAACCI_Conductor,CAUSAACCI_Mala condición del camino,CAUSAACCI_Otra,CLASACC_Fatal,CLASACC_No fatal,CLASACC_Sólo daños,Presupuesto,Entidad
18,2020,15057,14448,441,168,775,3971,10311,1942275159,Nayarit
18,2021,17476,16738,513,225,859,4741,11876,2837202277,Nayarit
19,2017,14966,14272,362,332,894,4102,9970,3455341076,Nuevo León
19,2018,17592,16726,480,386,914,4431,12247,3859307733,Nuevo León
19,2019,16757,16075,516,166,837,4509,11411,3706676853,Nuevo León
19,2020,15057,14448,441,168,775,3971,10311,4077825676,Nuevo León
19,2021,17476,16738,513,225,859,4741,11876,4076763357,Nuevo León
20,2017,14966,14272,362,332,894,4102,9970,9410171235,Oaxaca
20,2018,17592,16726,480,386,914,4431,12247,11675200677,Oaxaca
20,2019,16757,16075,516,166,837,4509,11411,13699413714,Oaxaca
20,2020,15057,14448,441,168,775,3971,10311,17567270895,Oaxaca
20,2021,17476,16738,513,225,859,4741,11876,16831431111,Oaxaca
21,2017,14966,14272,362,332,894,4102,9970,6590507201,Puebla
21,2018,17592,16726,480,386,914,4431,12247,6680301705,Puebla
21,2019,16757,16075,516,166,837,4509,11411,9652816191,Puebla
21,2020,15057,14448,441,168,775,3971,10311,8745712519,Puebla
21,2021,17476,16738,513,225,859,4741,11876,6531111952,Puebla
22,2017,14966,14272,362,332,894,4102,9970,4339940513,Querétaro
22,2018,17592,16726,480,386,914,4431,12247,2140819240,Querétaro
22,2019,16757,16075,516,166,837,4509,11411,1824268026,Querétaro
22,2020,15057,14448,441,168,775,3971,10311,1849215299,Querétaro
22,2021,17476,16738,513,225,859,4741,11876,1713014580,Querétaro
23,2017,14966,14272,362,332,894,4102,9970,2482784672,Quintana Roo
23,2018,17592,16726,480,386,914,4431,12247,1577529247,Quintana Roo
23,2019,16757,16075,516,166,837,4509,11411,1852379838,Quintana Roo
23,2020,15057,14448,441,168,775,3971,10311,1570941966,Quintana Roo
23,2021,17476,16738,513,225,859,4741,11876,5378670520,Quintana Roo
24,2017,14966,14272,362,332,894,4102,9970,3071844827,San Luis Potosí
24,2018,17592,16726,480,386,914,4431,12247,3298817484,San Luis Potosí
24,2019,16757,16075,516,166,837,4509,11411,3446428248,San Luis Potosí
24,2020,15057,14448,441,168,775,3971,10311,3241758710,San Luis Potosí
24,2021,17476,16738,513,225,859,4741,11876,3169941389,San Luis Potosí
25,2017,14966,14272,362,332,894,4102,9970,2564575026,Sinaloa
25,2018,17592,16726,480,386,914,4431,12247,2933571171,Sinaloa
25,2019,16757,16075,516,166,837,4509,11411,2648258759,Sinaloa
25,2020,15057,14448,441,168,775,3971,10311,4133468056,Sinaloa
25,2021,17476,16738,513,225,859,4741,11876,4062949217,Sinaloa
26,2017,14966,14272,362,332,894,4102,9970,1725263163,Sonora
26,2018,17592,16726,480,386,914,4431,12247,2194153522,Sonora
26,2019,16757,16075,516,166,837,4509,11411,3191538746,Sonora
26,2020,15057,14448,441,168,775,3971,10311,2767475012,Sonora
26,2021,17476,16738,513,225,859,4741,11876,2142694615,Sonora
27,2017,14966,14272,362,332,894,4102,9970,47283222346,Tabasco
27,2018,17592,16726,480,386,914,4431,12247,57677898047,Tabasco
27,2019,16757,16075,516,166,837,4509,11411,121696703580,Tabasco
27,2020,15057,14448,441,168,775,3971,10311,87261180698,Tabasco
27,2021,17476,16738,513,225,859,4741,11876,122466821887,Tabasco
28,2017,14966,14272,362,332,894,4102,9970,7317142047,Tamaulipas
28,2018,17592,16726,480,386,914,4431,12247,6699520339,Tamaulipas
28,2019,16757,16075,516,166,837,4509,11411,6546026880,Tamaulipas
28,2020,15057,14448,441,168,775,3971,10311,5635097724,Tamaulipas
28,2021,17476,16738,513,225,859,4741,11876,3449539674,Tamaulipas
29,2017,14966,14272,362,332,894,4102,9970,961567199,Tlaxcala
29,2018,17592,16726,480,386,914,4431,12247,1015194746,Tlaxcala
29,2019,16757,16075,516,166,837,4509,11411,1281160940,Tlaxcala
29,2020,15057,14448,441,168,775,3971,10311,1198063012,Tlaxcala
29,2021,17476,16738,513,225,859,4741,11876,895714758,Tlaxcala
30,2017,14966,14272,362,332,894,4102,9970,28578995291,Veracruz de Ignacio de la Llave
30,2018,17592,16726,480,386,914,4431,12247,26978837544,Veracruz de Ignacio de la Llave
30,2019,16757,16075,516,166,837,4509,11411,21968737123,Veracruz de Ignacio de la Llave
30,2020,15057,14448,441,168,775,3971,10311,33355092755,Veracruz de Ignacio de la Llave
30,2021,17476,16738,513,225,859,4741,11876,25947400859,Veracruz de Ignacio de la Llave
31,2017,14966,14272,362,332,894,4102,9970,4083206552,Yucatán
31,2018,17592,16726,480,386,914,4431,12247,3096657566,Yucatán
31,2019,16757,16075,516,166,837,4509,11411,3064347028,Yucatán
31,2020,15057,14448,441,168,775,3971,10311,2308676495,Yucatán
31,2021,17476,16738,513,225,859,4741,11876,14312142892,Yucatán
