State ID,State,Year,Expenses Type ID,Expenses Type,Amount Approved
12,Guerrero,2017,8,Gasto de Obra Pública,8756381671
12,Guerrero,2018,8,Gasto de Obra Pública,9204200294
12,Guerrero,2019,8,Gasto de Obra Pública,9756306905
12,Guerrero,2020,8,Gasto de Obra Pública,9200463679
12,Guerrero,2021,8,Gasto de Obra Pública,8524323867
13,Hidalgo,2013,8,Gasto de Obra Pública,8006126434
13,Hidalgo,2014,8,Gasto de Obra Pública,5275053952
13,Hidalgo,2015,8,Gasto de Obra Pública,7035329925
13,Hidalgo,2016,8,Gasto de Obra Pública,25184998439
13,Hidalgo,2017,8,Gasto de Obra Pública,6524516786
13,Hidalgo,2018,8,Gasto de Obra Pública,8235775855
13,Hidalgo,2019,8,Gasto de Obra Pública,5511847329
13,Hidalgo,2020,8,Gasto de Obra Pública,4865675417
13,Hidalgo,2021,8,Gasto de Obra Pública,4605068282
14,Jalisco,2013,8,Gasto de Obra Pública,6414892427
14,Jalisco,2014,8,Gasto de Obra Pública,8187917981
14,Jalisco,2015,8,Gasto de Obra Pública,13445255830
14,Jalisco,2016,8,Gasto de Obra Pública,10741648093
14,Jalisco,2017,8,Gasto de Obra Pública,10360745592
14,Jalisco,2018,8,Gasto de Obra Pública,9643357054
14,Jalisco,2019,8,Gasto de Obra Pública,5607985934
14,Jalisco,2020,8,Gasto de Obra Pública,3798362264
14,Jalisco,2021,8,Gasto de Obra Pública,2728603276
15,Estado de México,2013,8,Gasto de Obra Pública,11509783309
15,Estado de México,2014,8,Gasto de Obra Pública,13225884969
15,Estado de México,2015,8,Gasto de Obra Pública,37589959272
15,Estado de México,2016,8,Gasto de Obra Pública,34161126706
15,Estado de México,2017,8,Gasto de Obra Pública,29051097963
15,Estado de México,2018,8,Gasto de Obra Pública,33096828586
15,Estado de México,2019,8,Gasto de Obra Pública,35499387241
15,Estado de México,2020,8,Gasto de Obra Pública,15799407561
15,Estado de México,2021,8,Gasto de Obra Pública,31343391490
16,Michoacán de Ocampo,2013,8,Gasto de Obra Pública,5537670774
16,Michoacán de Ocampo,2014,8,Gasto de Obra Pública,5838702474
16,Michoacán de Ocampo,2015,8,Gasto de Obra Pública,6029125479
16,Michoacán de Ocampo,2016,8,Gasto de Obra Pública,5222429727
16,Michoacán de Ocampo,2017,8,Gasto de Obra Pública,4400492049
16,Michoacán de Ocampo,2018,8,Gasto de Obra Pública,4381476173
16,Michoacán de Ocampo,2019,8,Gasto de Obra Pública,4659184360
16,Michoacán de Ocampo,2020,8,Gasto de Obra Pública,3909488555
16,Michoacán de Ocampo,2021,8,Gasto de Obra Pública,3701177694
17,Morelos,2013,8,Gasto de Obra Pública,1728002353
17,Morelos,2014,8,Gasto de Obra Pública,2086812671
17,Morelos,2015,8,Gasto de Obra Pública,4073480337
17,Morelos,2016,8,Gasto de Obra Pública,1259815888
17,Morelos,2017,8,Gasto de Obra Pública,1184589997
17,Morelos,2018,8,Gasto de Obra Pública,1330440192
17,Morelos,2019,8,Gasto de Obra Pública,1466391084
